Symbol,Company,Sector,Headquarter,Year First Added,Foundation
MOS,The Mosaic Company,Materials,Florida,2011,1909
MSI,Motorola Solutions,Information Technology,Illinois,0,2011
MSCI,MSCI,Financials,New York,2018,1969
NDAQ,"Nasdaq, Inc.",Financials,New York,2008,1971
NTAP,NetApp,Information Technology,California,1999,1992
NFLX,Netflix,Communication Services,California,2010,1997
NWL,Newell Brands,Consumer Discretionary,Georgia,1989,1903
NEM,Newmont,Materials,Colorado,1969,1921
NWSA,News Corp (Class A),Communication Services,New York,2013,1980
NWS,News Corp (Class B),Communication Services,New York,2015,1980
NEE,NextEra Energy,Utilities,Florida,1976,1925
NKE,"Nike, Inc.",Consumer Discretionary,Oregon,1988,1964
NI,NiSource,Utilities,Indiana,0,1912
NDSN,Nordson Corporation,Industrials,Ohio,2022,1935
NSC,Norfolk Southern Railway,Industrials,Virginia,1957,1980
NTRS,Northern Trust,Financials,Illinois,0,1889
NOC,Northrop Grumman,Industrials,Virginia,1985,1930
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Florida,2017,1966
NRG,NRG Energy,Utilities,Texas,2010,1992
NUE,Nucor,Materials,North Carolina,1985,1940
NVDA,Nvidia,Information Technology,California,2001,1993
NVR,"NVR, Inc.",Consumer Discretionary,Virginia,2019,1980
NXPI,NXP Semiconductors,Information Technology,Netherlands,2021,1953
ORLY,O'Reilly Auto Parts,Consumer Discretionary,Missouri,2009,1957
OXY,Occidental Petroleum,Energy,Texas,1982,1920
ODFL,Old Dominion,Industrials,North Carolina,2019,1934
OMC,Omnicom Group,Communication Services,New York,0,1986
ON,ON Semiconductor,Information Technology,Arizona,2022,1999
OKE,Oneok,Energy,Oklahoma,2010,1906
ORCL,Oracle Corporation,Information Technology,Texas,1989,1977
OGN,Organon & Co.,Health Care,New Jersey,2021,2021
OTIS,Otis Worldwide,Industrials,Connecticut,2020,1853
PCAR,Paccar,Industrials,Washington,1980,1905
PKG,Packaging Corporation of America,Materials,Illinois,2017,1959
PARA,Paramount Global,Communication Services,New York,0,1952
PH,Parker Hannifin,Industrials,Ohio,1985,1917
PAYX,Paychex,Information Technology,New York,0,1971
PAYC,Paycom,Information Technology,Oklahoma,2020,1998
PYPL,PayPal,Information Technology,California,2015,1998
PNR,Pentair,Industrials,United Kingdom,2012,1966
PEP,PepsiCo,Consumer Staples,New York,1957,1898
PKI,PerkinElmer,Health Care,Massachusetts,1985,1937
PFE,Pfizer,Health Care,New York,1957,1849
PCG,PG&E,Utilities,California,2022,1905
PM,Philip Morris International,Consumer Staples,New York,2008,1847
PSX,Phillips 66,Energy,Texas,2012,1917
PNW,Pinnacle West,Utilities,Arizona,0,1985
PXD,Pioneer Natural Resources,Energy,Texas,2008,1997
PNC,PNC Financial Services,Financials,Pennsylvania,1988,1845
POOL,Pool Corporation,Consumer Discretionary,Louisiana,2020,1993
PPG,PPG Industries,Materials,Pennsylvania,1957,1883
PPL,PPL Corporation,Utilities,Pennsylvania,0,1920
PFG,Principal Financial Group,Financials,Iowa,2002,1879
PG,Procter & Gamble,Consumer Staples,Ohio,1957,1837
PGR,Progressive Corporation,Financials,Ohio,1997,1937
PLD,Prologis,Real Estate,California,2003,1983
PRU,Prudential Financial,Financials,New Jersey,2002,1875
PEG,Public Service Enterprise Group,Utilities,New Jersey,1957,1903
PTC,PTC,Information Technology,Massachusetts,2021,1985
PSA,Public Storage,Real Estate,California,2005,1972
PHM,PulteGroup,Consumer Discretionary,Georgia,1984,1956
QRVO,Qorvo,Information Technology,North Carolina,2015,2015
PWR,Quanta Services,Industrials,Texas,2009,1997
QCOM,Qualcomm,Information Technology,California,0,1985
DGX,Quest Diagnostics,Health Care,New Jersey,2002,1967
RL,Ralph Lauren Corporation,Consumer Discretionary,New York,2007,1967
RJF,Raymond James,Financials,Florida,2017,1962
RTX,Raytheon Technologies,Industrials,Massachusetts,0,1922
O,Realty Income,Real Estate,California,2015,1969
REG,Regency Centers,Real Estate,Florida,2017,1963
REGN,Regeneron,Health Care,New York,2013,1988
RF,Regions Financial Corporation,Financials,Alabama,1998,1971
RSG,Republic Services,Industrials,Arizona,2008,1981
RMD,ResMed,Health Care,California,2017,1989
RHI,Robert Half,Industrials,California,2000,1948
ROK,Rockwell Automation,Industrials,Wisconsin,0,1903
ROL,"Rollins, Inc.",Industrials,Georgia,2018,1948
ROP,Roper Technologies,Information Technology,Florida,2009,1981
ROST,Ross Stores,Consumer Discretionary,California,2009,1982
RCL,Royal Caribbean Group,Consumer Discretionary,Florida,2014,1997
SPGI,S&P Global,Financials,New York,0,1917
CRM,Salesforce,Information Technology,California,2008,1999
SBAC,SBA Communications,Real Estate,Florida,2017,1989
SLB,Schlumberger,Energy,Kingdom of the Netherlands,1965,1926
STX,Seagate Technology,Information Technology,Ireland,2012,1979
SEE,Sealed Air,Materials,North Carolina,1957,1960
SRE,Sempra Energy,Utilities,California,0,1998
NOW,ServiceNow,Information Technology,California,2019,2003
SHW,Sherwin-Williams,Materials,Ohio,1964,1866
SBNY,Signature Bank,Financials,New York,2021,2001
SPG,Simon Property Group,Real Estate,Indiana,2002,2003
SWKS,Skyworks Solutions,Information Technology,California,2015,2002
SJM,The J.M. Smucker Company,Consumer Staples,Ohio,2008,1897
SNA,Snap-on,Industrials,Wisconsin,1982,1920
SEDG,SolarEdge,Information Technology,Israel,2021,2006
SO,Southern Company,Utilities,Georgia,1957,1945
LUV,Southwest Airlines,Industrials,Texas,1994,1967
SWK,Stanley Black & Decker,Industrials,Connecticut,1982,1843
SBUX,Starbucks,Consumer Discretionary,Washington,2000,1971
STT,State Street Corporation,Financials,Massachusetts,0,1792
STE,Steris,Health Care,Ireland,2019,1985
SYK,Stryker Corporation,Health Care,Michigan,2000,1941
SIVB,SVB Financial,Financials,California,2018,1983
SYF,Synchrony Financial,Financials,Connecticut,2015,2003
SNPS,Synopsys,Information Technology,California,2017,1986
SYY,Sysco,Consumer Staples,Texas,1986,1969
TMUS,T-Mobile US,Communication Services,Washington,2019,1994
TROW,T. Rowe Price,Financials,Maryland,0,1937
TTWO,Take-Two Interactive,Communication Services,New York,2018,1993
TPR,"Tapestry, Inc.",Consumer Discretionary,New York,0,2017
TRGP,Targa Resources,Energy,Texas,2022,2005
TGT,Target Corporation,Consumer Discretionary,Minnesota,1976,1902
TEL,TE Connectivity,Information Technology,Switzerland,2011,2007
TDY,Teledyne Technologies,Information Technology,California,2020,1960
TFX,Teleflex,Health Care,Pennsylvania,2019,1943
TER,Teradyne,Information Technology,Massachusetts,2020,1960
TSLA,"Tesla, Inc.",Consumer Discretionary,Texas,2020,2003
TXN,Texas Instruments,Information Technology,Texas,0,1930
TXT,Textron,Industrials,Rhode Island,1978,1923
TMO,Thermo Fisher Scientific,Health Care,Massachusetts,2004,1902
TJX,TJX Companies,Consumer Discretionary,Massachusetts,1985,1987
TSCO,Tractor Supply,Consumer Discretionary,Tennessee,2014,1938
TT,Trane Technologies,Industrials,Ireland,2010,1871
TDG,TransDigm Group,Industrials,Ohio,2016,1993
TRV,The Travelers Companies,Financials,New York,2002,1853
TRMB,Trimble Inc.,Information Technology,Colorado,2021,1978
TFC,Truist,Financials,North Carolina,1997,1872
TYL,Tyler Technologies,Information Technology,Texas,2020,1966
TSN,Tyson Foods,Consumer Staples,Arkansas,2005,1935
USB,U.S. Bank,Financials,Minnesota,0,1968
UDR,"UDR, Inc.",Real Estate,Colorado,2016,1972
ULTA,Ulta Beauty,Consumer Discretionary,Illinois,2016,1990
UNP,Union Pacific Corporation,Industrials,Nebraska,1957,1862
UAL,United Airlines Holdings,Industrials,Illinois,2015,1967
UPS,United Parcel Service,Industrials,Georgia,2002,1907
URI,United Rentals,Industrials,Connecticut,2014,1997
UNH,UnitedHealth Group,Health Care,Minnesota,1994,1977
UHS,Universal Health Services,Health Care,Pennsylvania,2014,1979
VLO,Valero Energy,Energy,Texas,0,1980
VTR,Ventas,Real Estate,Illinois,2009,1998
VRSN,Verisign,Information Technology,Virginia,2006,1995
VRSK,Verisk,Industrials,New Jersey,2015,1971
VZ,Verizon,Communication Services,New York,1983,1877
VRTX,Vertex Pharmaceuticals,Health Care,Massachusetts,2013,1989
VFC,VF Corporation,Consumer Discretionary,Colorado,1979,1899
VTRS,Viatris,Health Care,Pennsylvania,2004,1961
VICI,Vici Properties,Real Estate,New York,2022,2017
V,Visa Inc.,Information Technology,California,2009,1958
VNO,Vornado Realty Trust,Real Estate,New York,2005,1982
VMC,Vulcan Materials Company,Materials,Alabama,1999,1909
WAB,Wabtec,Industrials,Pennsylvania,2019,1869
WBA,Walgreens Boots Alliance,Consumer Staples,Illinois,1979,2014
WMT,Walmart,Consumer Staples,Arkansas,1982,1962
WBD,Warner Bros. Discovery,Communication Services,New York,2022,2022
WM,Waste Management,Industrials,Texas,0,1968
WAT,Waters Corporation,Health Care,Massachusetts,0,1958
WEC,WEC Energy Group,Utilities,Wisconsin,2008,1896
WFC,Wells Fargo,Financials,California,1976,1852
WELL,Welltower,Real Estate,Ohio,2009,1970
